SampleName,Tag ID,Tag Color,Species,Timepoint,...6,Date,Collection Species,Location,Depth,Notes,File.Name,A.CT.mean,B.CT.mean,C.CT.mean,D.CT.mean,A.CT.sd,B.CT.sd,C.CT.sd,D.CT.sd,A.reps,B.reps,C.reps,D.reps,A.D,B.D,C.D,qpcrRun,Dominant,propD,logPropD,Reef,Latitude,Longitude
15NI,66,Green,Past,Initial,NA,2019-09-15T00:00:00Z,Past,EM5,"NA",NA,RK_NSF_SYM_Initials_11.csv,31.670484413146973,NaN,NaN,NaN,0.0918720375588349,NA,NA,NA,2,0,0,0,NaN,NaN,NaN,11,A,0,-7,Emerald,25 40.641 N,80 5.843 W
160NI,49,Blue,Ssid,Initial,NA,2019-09-26T00:00:00Z,Sint,RR4,24,NA,RK_NSF_SYM_Initials_15.csv,35.838314880371094,NaN,30.945363845825195,31.43242073059082,NA,NA,1.307728369498563,0.20571438430942865,1,0,2,2,0.14151906739093786,NaN,0.18281513631100152,15,C,0.15455934803233135,-0.8109047228809503,Rainbow,25 41.482 N,80 5.830 W
161NI,35,Blue,Ssid,Initial,NA,2019-09-26T00:00:00Z,Ssid,RR4,21,NA,RK_NSF_Sym_Initials_19.csv,37.90124594116211,31.374011993408203,NaN,37.24808120727539,NA,1.7280612499212258,NA,NA,1,2,0,1,1.9076516727984565,175.95122090484,NaN,19,B,0,-7,Rainbow,25 41.482 N,80 5.830 W
163NI,11,Blue,Ssid,Initial,NA,2019-09-26T00:00:00Z,Ssid,RR4,21,NA,RK_NSF_Sym_Initials_18.csv,36.7914169921875,NaN,32.741069641113285,NaN,NA,NA,2.0687318662112655,NA,1,0,2,0,NaN,NaN,NaN,18,C,0,-7,Rainbow,25 41.482 N,80 5.830 W
16NI,28,Green,Ssid,Initial,NA,2019-09-15T00:00:00Z,Ssid,EM1,28,NA,RK_NSF_SYM_Initials_11.csv,NaN,NaN,NaN,28.318737983703613,NA,NA,NA,0.002272558071707406,0,0,0,2,NaN,NaN,NaN,11,D,1,0,Emerald,25 40.64 N,80 6.028 W
18NI,89,Green,Mcav,Initial,NA,2019-09-15T00:00:00Z,Mcav,EM1,24,"TAG# on notes says ""37->89""",RK_NSF_SYM_Initials_6.csv,NaN,NaN,23.324890937805176,NaN,NA,NA,0.08698435183072353,NA,0,0,2,0,NaN,NaN,NaN,6,C,0,-7,Emerald,25 40.64 N,80 6.028 W
19NI,99,Green,Mcav,Initial,NA,2019-09-15T00:00:00Z,Mcav,EM1,25,NA,RK_NSF_SYM_Initials_2.csv,NaN,NaN,25.779481735229492,NaN,NA,NA,0.3462515333824584,NA,0,0,2,0,NaN,NaN,NaN,2,C,0,-7,Emerald,25 40.64 N,80 6.028 W
1NI,86,Green,Mcav,Initial,NA,2019-09-15T00:00:00Z,Mcav,EM1,26,NA,RK_NSF_SYM_Initials_1.csv,NaN,NaN,24.843124237060547,NaN,NA,NA,0.17012760847555825,NA,0,0,2,0,NaN,NaN,NaN,1,C,0,-7,Emerald,25 40.64 N,80 6.028 W
21NI,50,Green,Ofav,Initial,NA,2019-09-15T00:00:00Z,Ofav,EM3,24,NA,RK_NSF_SYM_Initials_11.csv,NaN,25.70988941192627,NaN,28.064205169677734,NA,0.2276105150478083,NA,0.10272232223947945,0,2,0,2,NaN,15.340549524879936,NaN,11,B,0.06119745229359706,-1.2132666575580884,Emerald,25 40.725 N,80 5.845 W
22NI,14,Green,Sint,Initial,NA,2019-09-15T00:00:00Z,Sbou,EM5,26,NA,RK_NSF_SYM_Initials_11.csv,29.935460914611816,NaN,35.19179901123047,36.27812957763672,0.14265056064476003,NA,NA,NA,2,0,1,1,243.47522444083071,NaN,0.27695646311979766,11,A,0,-7,Emerald,25 40.641 N,80 5.843 W
